Species	ERAS6_D42	ERAS7_D8	ERAS11_D180	ERAS3_D180	ERAS9_D42	ERAS9_D4	ERAS7_D4	ERAS2_D0	ERAS2_D42	ERAS2_D180	ERAS4_D0	ERAS3_D4	ERAS9_D8	ERAS7_D0	ERAS11_D8	ERAS11_D4	ERAS4_D180	ERAS5_D4	ERAS3_D0	ERAS9_D0	ERAS11_D42	ERAS5_D180	ERAS5_D0	ERAS5_D42	ERAS6_D8	ERAS2_D8	ERAS4_D4	ERAS6_D4	ERAS6_D180	ERAS7_D42	ERAS2_D4	ERAS4_D42	ERAS3_D42	ERAS7_D180	ERAS11_D0	ERAS4_D8	ERAS5_D8	ERAS6_D0	ERAS3_D8	ERAS9_D180	ERAS8_D180	ERAS10_D0	ERAS12_D180	ERAS8_D8	ERAS12_D4	ERAS8_D0	ERAS12_D42	ERAS1_D8	ERAS12_D0	ERAS1_D42	ERAS10_D180	ERAS10_D8	ERAS1_D0	ERAS8_D42	ERAS1_D180	ERAS10_D42	ERAS12_D8
Acidaminococcus intestini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000149571824068867	0	0	0	0	0	0	0	0	0	0	0	0	0.00358172043392827	0	0	0
Actinomyces odontolyticus	0	0	0	0	0.000181930455796895	0	0.000181246750364839	0	0	0	0	0.000392731353053019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000524493366971232	0	0	0	0	0.000149571824068867	0	0	0	0.00014480563536727	0	0	0	0	0	0	0	0	0.000157093001488082	0	0.000255750564985474	0
Actinomyces sp. oral taxon 170	0	0	0	0	0	0	8.05541112732618e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces viscosus	0	0	0	0	0	0	0.000112775755782566	0	0	0	0	0.000261820902035346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162773803542796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132291033975172	0	0	0	0.000146447967161421	0	0.000233692051631271	0	0	0	0	0	0	0	0
Aggregatibacter segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132291033975172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia muciniphila	0	0	0	0.0156020525157371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327522953048769	0	0	0	0	0	0.00409504296368298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023013251982509	0.000858075100834233	0.000140215230978763	0.017516745265235	0	0	0.000465045458696883	0	0.00146758336101132	0	0.321767323790282
Alistipes putredinis	0	0.000246510195535409	0.0115915948851231	0.000157120367731492	0.0539969592805183	0.00160845476238388	8.05541112732618e-05	0.0134954019838616	0	0	0.00919988000785034	0.000261820902035346	0.000721551723225594	0.0222342737627287	0	0.000434004493152072	0.00022202795280664	0.000200491487375294	0.0094104170364145	0.0459651340081466	0.0184942191858136	0.0198632510518402	0.0044328537610911	0.0340983881415704	0	0	0.000887015116269272	0.000117286995413427	0.0360672194081702	0.014314865214206	0	0	0.000211479562285522	0.000313627757932982	0.0125604204702812	0	0.000140079129143618	0.00479384036103557	0	0.0376609138750368	0.0227199600760609	0.0261836435758794	0.0194467819943503	0	0	0.000455356975967846	0.0328482790343067	0	0.00321092878941367	0.000531329846597149	0	0	0.000155015152898961	0.0185998113761889	0.000209654765858759	0	0.000144017600662052
Alistipes shahii	0.0123994237988512	0	0.0067849132007329	0	0.00820708500594881	0	0	0.0237825107831656	0.0130895221082297	0.0210949713552461	0.00218912248623985	0	0.0039138714684055	0.0155599929764971	0	0	0.00814102493624345	0.000175430051453382	0.0127389924947096	0.0107167690157836	0.00375470196491666	0.000973931531670048	0.00420383866939991	0.00112801184771353	0	0.000798292155034876	0	0	0.002189353513824	0.00954651282984621	0	0.015046419407253	0	0.00111512091709505	0.00127930208493605	0	0	0.000935734605006944	0	0.0100647457472808	0.00495248928583583	0.00367986342147494	0.00398343002303019	0	0	0.000162627491417088	0.00860788606982129	0	0.00127751654891762	0	0	0	0	0.00563789327562784	0	0	0.0103852692032969
Alistipes sp. HGB5	0.00176783864062829	0	0.0080762353905498	0.0100557035348155	0.0152275791502001	0	0	0.0199101839136153	0.00735514638882591	0.0118522035591325	0.00181993996525533	0.000261820902035346	0.0157626253719191	0.00178374891551799	0	0.000108501123288018	0.0040261068775604	0.000350860102906764	0.00131499277364744	0.014305080439046	0.0110366042485998	0.000222848740297384	0.00461637955374774	0.00140860479483227	0	0.0245148263609801	0	0	0.00263864693057397	0.00185372355291877	0	0.00275366903437757	0.0178996301518466	0	0.00376812614108435	0	0.000175098911429523	0.000161954066251202	0.0130111770379929	0.0102250993235934	0.000392626038180776	0.000410446304702974	0	0	0	0.0074158136086192	0.00140590048474964	0.0231018333576028	0.00026290355808518	0.0123714155894781	0.0277155123055336	0.000219440699913237	0.00241823638522379	0	0.00163530717369832	0	0.0025059062515197
